ID;grupo;producto;marca;especificacion;N;Min;Pmin;Pmediano;PPdM;Pmax;Max;ee;iqr;PPdM_Ant;Var.Mens;C.V.;Periodo
123;Cuidado personal;Papel higiénico hoja simple;Higienol Export;4 rollos de 30 mts.;153;52;52;67;65.872;77;80;5.880123586;7.9;65.872;0;0.0893;Nov25
124;Cuidado personal;Papel higiénico hoja simple;Sin Fin;4 rollos de 50 mts.;432;95;95;135;131.751;165;165;15.52463343;14;131.869;-0.0009;0.1178;Nov25
125;Cuidado personal;Pasta dental;Colgate Herbal Blanqueador;90 grs.;624;47.6;48.3;69.9;71.26;81;89;8.561717002;15;72.785;-0.021;0.1201;Nov25
126;Cuidado personal;Pasta dental;Kolynos Triple acción;90 grs.;595;29;30;42;40.549;50;58.9;3.888906035;4;40.041;0.0127;0.0959;Nov25
127;Cuidado personal;Pasta dental;Pico Jenner Plus;90 grs.;108;35;37;55;54.97;63;69.9;6.25061464;5;54.97;0;0.1137;Nov25
128;Alimentos y bebidas;Peceto vacuno;Sin Marca;1 kg.;214;329;394.4;399;434.768;539;579;48.45953777;76;428.213;0.0153;0.1115;Nov25
129;Alimentos y bebidas;Pescado fresco;bifes de merluz - sin marca;1 kg.;110;329;329;329;351.664;509;509;46.53138988;19;349.186;0.0071;0.1323;Nov25
130;Alimentos y bebidas;Pollo entero fresco con menudos;Avícola del Oeste;1 kg.;201;150;159;199;198.675;229;239;11.54395751;6;197.609;0.0054;0.0581;Nov25
132;Alimentos y bebidas;Pollo entero fresco con menudos;Tres Arroyos;1 kg.;31;149;149;209;200.103;239;239;22.14397319;27;199.985;0.0006;0.1107;Nov25
133;Alimentos y bebidas;Pulpa de tomate;Conaprole;Envase 1 lt.;615;85;86;100;100.841;110;118;3.633807995;2;99.202;0.0165;0.036;Nov25
134;Alimentos y bebidas;Pulpa de tomate;De Ley;Envase 1,020 lt.;438;59;60;80;76.134;87;93;8.104583956;14;76.557;-0.0055;0.1065;Nov25
135;Alimentos y bebidas;Pulpa de tomate;Gourmet;Envase 1 lt.;443;69.9;72;95;92.573;113;130;10.09246692;17;94.416;-0.0195;0.109;Nov25
136;Alimentos y bebidas;Queso rallado;Artesano;Paquete 80 grs.;217;125;130;146;150.544;175;175;11.01885853;17;150.499;0.0003;0.0732;Nov25
137;Alimentos y bebidas;Queso rallado;Conaprole;Paquete 80 grs.;463;89.9;95.9;119;119.101;142;150;11.02055769;19;117.677;0.0121;0.0925;Nov25
138;Alimentos y bebidas;Queso rallado;Milky;Paquete 80 grs.;257;87;108;114;115.014;135;140;5.23446334;10;114.9;0.001;0.0455;Nov25
139;Alimentos y bebidas;Rueda Vacuna;Con Hueso - Sin Marca;1 kg;22;359;359;492;462.238;492;492;42.07808198;43;465.244;-0.0065;0.091;Nov25
140;Alimentos y bebidas;Sal fina yodada fluorada;Sek;Paquete 500 grs.;315;37;40.84;64;60.132;73;76;7.255021408;11;60.213;-0.0013;0.1207;Nov25
141;Alimentos y bebidas;Sal fina yodada fluorada;Torrevieja;Paquete 500 grs.;102;39;40.98;64.9;61.734;73.02;75;9.408228097;7.1;58.154;0.0616;0.1524;Nov25
142;Alimentos y bebidas;Sal fina yodada fluorada;Urusal;Paquete 500 grs.;283;40;40;58;56.008;66;69;5.084891905;7;56.087;-0.0014;0.0908;Nov25
143;Alimentos y bebidas;Té negro en saquitos;Hornimans;Caja 10 us.;437;39;39.9;52;49.964;58;63;4.571075755;8;49.915;0.001;0.0915;Nov25
144;Alimentos y bebidas;Té negro en saquitos;La Virginia;Caja 10 us.;593;30;33;40;39.66;49.02;52;4.52789586;9;38.853;0.0208;0.1142;Nov25
145;Alimentos y bebidas;Té negro en saquitos;President;Caja 10 us.;366;44;50;75;74.045;89;94;6.776600816;6;75.031;-0.0131;0.0915;Nov25
146;Alimentos y bebidas;Vino tinto común tetrabrick;Faisán;Envase 1 lt.;464;112;112;138;137.232;166.63;182;10.27963373;11;138.196;-0.007;0.0749;Nov25
147;Alimentos y bebidas;Vino tinto común tetrabrick;Santa Teresa Clásico;Envase 1 lt.;470;110;129;144;144.945;169;177;8.24205971;11;147.694;-0.0186;0.0569;Nov25
148;Alimentos y bebidas;Vino tinto común tetrabrick;Tango;Envase 1 lt.;146;105;105;109;109.486;116;117;3.536706351;8;109.486;0;0.0323;Nov25
149;Alimentos y bebidas;Yerba mate común;Baldo;Paquete1 kg.;654;171;172;193;193.273;249.14;249.14;8.495170868;2;193.548;-0.0014;0.044;Nov25
150;Alimentos y bebidas;Yerba mate común;Canarias;Paquete1 kg.;636;175;175;196;198.262;269;269;17.2881517;4;197.62;0.0032;0.0872;Nov25
151;Alimentos y bebidas;Yerba mate común;Del Cebador;Paquete1 kg.;439;144.9;149;184;180.77;222;225;14.56501401;20;179.795;0.0054;0.0806;Nov25
152;Alimentos y bebidas;Yogur;Calcar;Sachet 1 lt.;199;69;69;90;89.169;106;106;6.885542261;12;89.216;-0.0005;0.0772;Nov25
153;Alimentos y bebidas;Yogur;Conaprole BIO TOP;Sachet1,200 lt.;416;76;78.996;96;94.867;106;114;7.577557903;13;98.148;-0.0334;0.0799;Nov25
154;Alimentos y bebidas;Yogur;Parmalat Bio Yogur;Sachet 1 lt.;150;61;61;94.9;93.213;103;108;8.057820553;8.1;93.213;0;0.0864;Nov25
238;Frutas y verduras;Lechuga Crespa;;1 unidad;149;22;25;40;43.303;56;59;6.546671959;10;48.985;-0.116;0.1512;Nov25
239;Frutas y verduras;Lechuga Mantecosa;;1 unidad;130;27;28.43;49;47.099;56;59;5.594174747;0;53.461;-0.119;0.1188;Nov25
244;Frutas y verduras;Papa Blanca;;1 kg.;177;52;56;109;102.952;129;129;14.62441579;22;103.499;-0.0053;0.1421;Nov25
245;Frutas y verduras;Papa Rosada;;1 kg.;149;47;47;72;72.797;108.9;108.9;13.092533;7;78.343;-0.0708;0.1798;Nov25
253;Frutas y verduras;Tomate Americano;;1 kg.;183;59;59;126;128.349;210;232;36.66219094;59.1;221.504;-0.4206;0.2856;Nov25
254;Frutas y verduras;Tomate Perita;;1 kg.;141;99;103.64;209;198.581;296;319;40.68748893;15;241.061;-0.1762;0.2049;Nov25
255;Frutas y verduras;Banana Ecuador;;1 kg.;141;66;82.8;119;116.552;165;165;13.73993734;0.1;118.11;-0.0132;0.1179;Nov25
257;Frutas y verduras;Banana Brasil;;1 kg.;107;59;59;69;71.095;99;99;5.126632102;2;70.379;0.0102;0.0721;Nov25
262;Frutas y verduras;Zapallo Calabacín;;1 kg.;34;45;45;99.91;86.689;115;115;17.9945593;24.91;58.204;0.4894;0.2076;Nov25
264;Frutas y verduras;Zapallo Criollo;;1 kg.;31;52;52;73;69.296;80;80;6.795087524;6;68.885;0.006;0.0981;Nov25
275;Frutas y verduras;Manzana Fuji;;1 kg.;22;115;115;149;150.63;189;189;13.27460603;1;151.098;-0.0031;0.0881;Nov25
276;Frutas y verduras;Manzana Granny Smith;;1 kg.;124;105;119;139;146.562;193;193;15.22041393;10;143.579;0.0208;0.1038;Nov25
277;Frutas y verduras;Manzana Red Deliciosa;;1 kg.;227;109;139;139;144.543;189;199;10.83180694;7.9;144.563;-0.0001;0.0749;Nov25
286;Frutas y verduras;Naranja Navel;;1 kg.;111;33;34;69;64.635;69;99;8.769850142;0;62.811;0.029;0.1357;Nov25
287;Frutas y verduras;Naranja Valencia;;1 kg.;102;35;42;54;55.95;87;87;6.727358702;2;56.096;-0.0026;0.1202;Nov25
308;Cuidado personal;Repelente crema;Off!;200 grs.;376;335;379;522;524.966;609;625;45.9146798;41;525.338;-0.0007;0.0875;Nov25
309;Cuidado personal;Repelente spray;Off!;177 cm3;387;341;434.9;612;593.284;649.32;659;41.56617434;28;595.117;-0.0031;0.0701;Nov25
310;Cuidado personal;Repelente aerosol;Off!;170 cm3;655;259;259;364;374.196;445.5;445.5;40.72717399;71;371.602;0.007;0.1088;Nov25
312;Cuidado personal;Repelente crema;Off!;90 grs.;377;199;256.9;427;418.511;484.58;534;45.12396752;50;420.834;-0.0055;0.1078;Nov25
313;Cuidado personal;Repelente crema;Júpiter;80 grs.;290;96;96;208;175.846;208;208;43.25276398;69;175.804;0.0002;0.246;Nov25
314;Cuidado personal;Repelente aerosol;Júpiter;165 cm3;498;93.6;102;175;160.768;185;197;20.60166306;30;162.196;-0.0088;0.1281;Nov25
315;Cuidado personal;Repelente aerosol;Off! LD;170 cm3;630;383;399;499;504.071;582.64;582.64;44.06798781;85;507.197;-0.0062;0.0874;Nov25
