Producto;producto_base;tipo_producto;marca;presentacion;tipo_envoltorio;presentacion_valor;presentacion_unidad;especificacion;nombre_comercial;canasta_producto;canasta_cantidad
arroz calidad media Vidarroz (bolsa 1 kg.);arroz calidad media Vidarroz;Arroz ;Vidarroz;Empaque 1 kg.;Empaque;1.0;KG;calidad media;Arroz  calidad media;1;3
Arvejas en conserva Cololó Lata 380 grs.;Arvejas en conserva Cololó;Arvejas en conserva;Cololó;Envase 380 grs.;Envase;380.0;GR;;Arvejas en conserva ;;
arvejas en conserva Cololo (lata 380 grs.);arvejas en conserva Cololo;Arvejas en conserva;Cololó;Envase 380 grs.;Envase;380.0;GR;;Arvejas en conserva ;;
Arvejas en conserva Nidemar Lata 300 grs.;Arvejas en conserva Nidemar;Arvejas en conserva;Nidemar;Envase 300 grs.;Envase;300.0;GR;;Arvejas en conserva ;;
arvejas en conserva Nidemar (lata 300 grs.);arvejas en conserva Nidemar;Arvejas en conserva;Nidemar;Envase 300 grs.;Envase;300.0;GR;;Arvejas en conserva ;;
azucar blanca Azucarlito (paquete 1 kg.);azucar blanca Azucarlito;Azucar;Azucarlito;Empaque 1 kg.;Empaque;1.0;KG;blanca;Azucar blanca;1;1
azucar blanca Bella union (paquete 1 kg.);azucar blanca Bella union;Azucar;Bella Unión;Empaque 1 kg.;Empaque;1.0;KG;blanca;Azucar blanca;1;1
Azúcar blanco Azucarlito Paquete 1 kg.;Azúcar blanco Azucarlito;Azucar;Azucarlito;Empaque 1 kg.;Empaque;1.0;KG;blanca;Azucar blanca;1;1
Azúcar blanco Bella Unión Paquete 1 kg.;Azúcar blanco Bella Unión;Azucar;Bella Unión;Empaque 1 kg.;Empaque;1.0;KG;blanca;Azucar blanca;1;1
Banana Brasil, 1 kg.;Banana Brasil;Banana;Genérico;1 kg.;Para Empaquetar;1.0;KG;Brasil;Banana Brasil;;
Banana Ecuador, 1 kg.;Banana Ecuador;Banana;Genérico;1 kg.;Para Empaquetar;1.0;KG;Ecuador;Banana Ecuador;;
banana brasil Sin marca (1 kg.);banana brasil Sin marca;Banana;Genérico;1 kg.;Para Empaquetar;1.0;KG;Brasil;Banana Brasil;;
banana ecuador Sin marca (1 kg.);banana ecuador Sin marca;Banana;Genérico;1 kg.;Para Empaquetar;1.0;KG;Ecuador;Banana Ecuador;;
Café envasado (no instantáneo) Chaná Paquete 250 grs.;Café envasado (no instantáneo) Chaná;Café;Chaná;Empaque 250 grs.;Empaque;250.0;GR;envasado no instantaneo;Café envasado no instantaneo;;
Café envasado (no instantáneo) Saint Paquete 250 grs.;Café envasado (no instantáneo) Saint;Café;Saint;Empaque 250 grs.;Empaque;250.0;GR;envasado no instantaneo;Café envasado no instantaneo;;
Café envasado (no instantáneo) Águila Paquete 250 grs.;Café envasado (no instantáneo) Águila;Café;Águila;Empaque 250 grs.;Empaque;250.0;GR;envasado no instantaneo;Café envasado no instantaneo;;
cafe instantaneo El chana (paquete 250 grs.);cafe instantaneo El chana;Café;El Chaná;Empaque 250 grs.;Empaque;250.0;GR;instantaneo;Café instantaneo;;
cafe instantaneo Saint (paquete 250 grs.);cafe instantaneo Saint;Café;Saint;Empaque 250 grs.;Empaque;250.0;GR;instantaneo;Café instantaneo;;
cafe instantaneo Aguila (paquete 250 grs.);cafe instantaneo Aguila;Café;Águila;Empaque 250 grs.;Empaque;250.0;GR;instantaneo;Café instantaneo;;
carne picada hasta 20% de grasa Sin marca (1 kg.);carne picada hasta 20% de grasa Sin marca;Carne picada vacuna;Genérico;1 kg.;Para Empaquetar;1.0;KG;Con Hasta 20% De Grasa;Carne picada vacuna Con Hasta 20% De Grasa;1;6
carne picada hasta 5% de grasa Sin marca (1 kg.);carne picada hasta 5% de grasa Sin marca;Carne picada vacuna;Genérico;1 kg.;Para Empaquetar;1.0;KG;Con Hasta 5% De Grasa;Carne picada vacuna Con Hasta 5% De Grasa;1;6
Carne picada vacuna Con Hasta 20% de grasa 1 kg.;Carne picada vacuna Con Hasta 20% de grasa;Carne picada vacuna;Genérico;1 kg.;Para Empaquetar;1.0;KG;Con Hasta 20% De Grasa;Carne picada vacuna Con Hasta 20% De Grasa;1;6
Carne picada vacuna Con Hasta 5% de grasa 1 kg.;Carne picada vacuna Con Hasta 5% de grasa;Carne picada vacuna;Genérico;1 kg.;Para Empaquetar;1.0;KG;Con Hasta 5% De Grasa;Carne picada vacuna Con Hasta 5% De Grasa;1;6
Cerveza Patricia Botella 960 ml.;Cerveza Patricia;Cerveza;Patricia;Envase 960 ml.;Envase;960.0;ML;;Cerveza ;;
Cerveza Pilsen Botella 960 ml.;Cerveza Pilsen;Cerveza;Pilsen;Envase 960 ml.;Envase;960.0;ML;;Cerveza ;;
