Producto;producto_base;tipo_producto;marca;presentacion;tipo_envoltorio;presentacion_valor;presentacion_unidad;especificacion;nombre_comercial;canasta_producto;canasta_cantidad
panales para ninos comun Babysec (48 unidades);panales para ninos comun Babysec;Panales para ninos ;Babysec;Empaque 48 Unidades;Empaque;48.0;UNIDADES;Común;Panales para ninos  Común;;
panales para ninos comun Huggies (40 unidades);panales para ninos comun Huggies;Panales para ninos ;Huggies;Empaque 40 Unidades;Empaque;40.0;UNIDADES;Común;Panales para ninos  Común;;
Papa Blanca, 1 kg.;Papa Blanca;Papa;Genérico;1 kg.;Para Empaquetar;1.0;KG;Blanca;Papa Blanca;;
Papa Rosada, 1 kg.;Papa Rosada;Papa;Genérico;1 kg.;Para Empaquetar;1.0;KG;Rosada;Papa Rosada;;
papa blanca Sin marca (1 kg.);papa blanca Sin marca;Papa;Genérico;1 kg.;Para Empaquetar;1.0;KG;Blanca;Papa Blanca;;
papa rosada Sin marca (1 kg.);papa rosada Sin marca;Papa;Genérico;1 kg.;Para Empaquetar;1.0;KG;Rosada;Papa Rosada;;
Papel higiénico hoja simple Elite 4 rollos de 30 mts.;Papel higiénico hoja simple Elite;Papel higienico ;Elite;Empaque 4 rollos de 30 mts.;Empaque;4.0;ROLLOS;hoja simple;Papel higienico  hoja simple;;
papel higienico hoja simple Elite (4 rollos de 30 mts.);papel higienico hoja simple Elite;Papel higienico ;Elite;Empaque 4 rollos de 30 mts.;Empaque;4.0;ROLLOS;hoja simple;Papel higienico  hoja simple;;
Papel higiénico hoja simple Higienol Export 4 rollos de 30 mts.;Papel higiénico hoja simple Higienol Export;Papel higienico ;Higienol Export;Empaque 4 rollos de 30 mts.;Empaque;4.0;ROLLOS;hoja simple;Papel higienico  hoja simple;;
papel higienico hoja simple Higienol export (4 rollos de 30 mts.);papel higienico hoja simple Higienol export;Papel higienico ;Higienol Export;Empaque 4 rollos de 30 mts.;Empaque;4.0;ROLLOS;hoja simple;Papel higienico  hoja simple;;
Papel higiénico hoja simple Sin Fin 4 rollos de 50 mts.;Papel higiénico hoja simple Sin Fin;Papel higienico ;Sin Fin;Empaque 4 rollos de 50 mts.;Empaque;4.0;ROLLOS;hoja simple;Papel higienico  hoja simple;;
papel higienico hoja simple Sin fin (4 rollos de 50 mts.);papel higienico hoja simple Sin fin;Papel higienico ;Sin Fin;Empaque 4 rollos de 50 mts.;Empaque;4.0;ROLLOS;hoja simple;Papel higienico  hoja simple;;
Pasta dental Colgate Herbal Blanqueador Unidad 90 grs.;Pasta dental Colgate Herbal Blanqueador;Pasta dental;Colgate;Envase  90 grs.;Envase;90.0;GR;Herbal Blanqueador;Pasta dental Herbal Blanqueador;;
Pasta dental Kolynos Triple acción Unidad 90 grs.;Pasta dental Kolynos Triple acción;Pasta dental;Kolynos;Envase  90 grs.;Envase;90.0;GR;Triple Accion;Pasta dental Triple Accion;;
Pasta dental Pico Jenner Plus Unidad 90 grs.;Pasta dental Pico Jenner Plus;Pasta dental;Pico Jenner;Envase  90 grs.;Envase;90.0;GR;Plus;Pasta dental Plus;;
pasta dental comun Colgate herbal blanqueador (90 grs.);pasta dental comun Colgate herbal blanqueador;Pasta dental;Colgate;Envase 90 grs.;Envase;90.0;GR;Herbal Blanqueador;Pasta dental Herbal Blanqueador;;
pasta dental comun Kolynos triple accion (90 grs.);pasta dental comun Kolynos triple accion;Pasta dental;Kolynos;Envase 90 grs.;Envase;90.0;GR;Triple Accion;Pasta dental Triple Accion;;
pasta dental comun Pico jenner plus (90 grs.);pasta dental comun Pico jenner plus;Pasta dental;Pico Jenner;Envase 90 grs.;Envase;90.0;GR;Plus;Pasta dental Plus;;
peceto sin hueso Sin marca (1 kg.);peceto sin hueso Sin marca;Peceto vacuno;Genérico;1 kg.;Para Empaquetar;1.0;KG;sin hueso;Peceto vacuno sin hueso;;
Peceto vacuno Sin Marca 1 kg.;Peceto vacuno Sin Marca;Peceto vacuno;Genérico;1 kg.;Para Empaquetar;1.0;KG;;Peceto vacuno ;;
Bebe & Co Colonia + Talco, 120 ml.;Bebe & Co Colonia + Talco;Perfume;Bebe & Co;Envase 120 ml.;Envase;120.0;ML;Colonia Talco;Perfume Colonia Talco;;
Perfume Casapueblo 24 Heures Blue Edt, 100 ml.;Perfume Casapueblo 24 Heures Blue Edt;Perfume;Casapueblo;Envase 100 ml.;Envase;100.0;ML;24 Heures Blue Edt;Perfume 24 Heures Blue Edt;;
Perfume Delice Candy, 50 ml.;Perfume Delice Candy;Perfume;Delice Candy;Envase 50 ml.;Envase;50.0;ML;;Perfume ;;
perfume comun Bebe & co. (120 ml.);perfume comun Bebe & co.;Perfume comun;Bebe & Co;Envase 120 ml.;Envase;120.0;ML;;Perfume comun ;;
perfume comun Casapueblo (100 ml.);perfume comun Casapueblo;Perfume comun;Casapueblo;Envase 100 ml.;Envase;100.0;ML;;Perfume comun ;;
perfume comun Delice candy (50 ml.);perfume comun Delice candy;Perfume;Delice Candy;Envase 50 ml.;Envase;50.0;ML;;Perfume ;;
Pescado fresco bifes de merluz - sin marca 1 kg.;Pescado fresco bifes de merluz - sin marca;Pescado;Genérico;1 kg.;Para Empaquetar;1.0;KG;Merluza en bifes;Pescado Merluza en bifes;;
pescado fresco bifes de merluza Sin marca (1 kg.);pescado fresco bifes de merluza Sin marca;Pescado;Genérico;1 kg.;Para Empaquetar;1.0;KG;Merluza en bifes;Pescado Merluza en bifes;;
pollo entero con menudos fresco Avicolas del oeste (1 kg.);pollo entero con menudos fresco Avicolas del oeste;Pollo ;Avicolas del Oeste;1 kg.;Para Empaquetar;1.0;KG;entero con menudos fresco;Pollo  entero con menudos fresco;1;6
pollo entero con menudos fresco Tres arroyos (1 kg.);pollo entero con menudos fresco Tres arroyos;Pollo ;Tres Arroyos;1 kg.;Para Empaquetar;1.0;KG;entero con menudos fresco;Pollo  entero con menudos fresco;1;6
Pollo entero fresco con menudos Avícola del Oeste 1 kg.;Pollo entero fresco con menudos Avícola del Oeste;Pollo ;Avícola del Oeste;1 kg.;Para Empaquetar;1.0;KG;entero con menudos fresco;Pollo  entero con menudos fresco;1;6
Pollo entero fresco con menudos Tres Arroyos 1 kg.;Pollo entero fresco con menudos Tres Arroyos;Pollo ;Tres Arroyos;1 kg.;Para Empaquetar;1.0;KG;entero con menudos fresco;Pollo  entero con menudos fresco;1;6
Protector solar SPF 20 Dermaglós 250 ml.;Protector solar SPF 20 Dermaglós;Protector solar;Dermaglós;Envase 250 ml.;Envase;250.0;ML;Spf 20;Protector solar Spf 20;;
Protector solar SPF 40 Dermaglós 250 ml.;Protector solar SPF 40 Dermaglós;Protector solar;Dermaglós;Envase 250 ml.;Envase;250.0;ML;Spf 40;Protector solar Spf 40;;
protector solar spf 20 Dermaglos (250 ml.);protector solar spf 20 Dermaglos;Protector solar;Dermaglós;Envase 250 ml.;Envase;250.0;ML;Spf 20;Protector solar Spf 20;;
protector solar spf 40 Dermaglos (250 ml.);protector solar spf 40 Dermaglos;Protector solar;Dermaglós;Envase 250 ml.;Envase;250.0;ML;Spf 40;Protector solar Spf 40;;
Protector solar SPF 50 Eucerin 150 ml.;Protector solar SPF 50 Eucerin;Protector solar;Eucerin;Envase 150 ml.;Envase;150.0;ML;Spf 50;Protector solar Spf 50;;
Protector solar SPF 30 Hawaiian Tropic 180 ml.;Protector solar SPF 30 Hawaiian Tropic;Protector solar;Hawaiian Tropic;Envase 180 ml.;Envase;180.0;ML;Spf 30;Protector solar Spf 30;;
Protector solar SPF 80 Hawaiian Tropic 240 ml.;Protector solar SPF 80 Hawaiian Tropic;Protector solar;Hawaiian Tropic;Envase 240 ml.;Envase;240.0;ML;Spf 80;Protector solar Spf 80;;
protector solar spf 30 Hawaiian tropic (180 ml.);protector solar spf 30 Hawaiian tropic;Protector solar;Hawaiian Tropic;Envase 180 ml.;Envase;180.0;ML;Spf 30;Protector solar Spf 30;;
protector solar spf 50 Hawaiian tropic (240 ml.);protector solar spf 50 Hawaiian tropic;Protector solar;Hawaiian Tropic;Envase 240 ml.;Envase;240.0;ML;Spf 50;Protector solar Spf 50;;
Protector solar SPF 60 Soundown 120 ml.;Protector solar SPF 60 Soundown;Protector solar;Soundown;Envase 120 ml.;Envase;120.0;ML;Spf 60;Protector solar Spf 60;;
protector solar spf 60 Sundown (120 ml.);protector solar spf 60 Sundown;Protector solar;Sundown;Envase 120 ml.;Envase;120.0;ML;Spf 60;Protector solar Spf 60;;
Pulpa de tomate Conaprole Envase 1 lt.;Pulpa de tomate Conaprole;Pulpa de tomate;Conaprole;Envase 1 lt.;Envase;1.0;LT;;Pulpa de tomate ;1;6
Pulpa de tomate De Ley Envase 1,020 lt.;Pulpa de tomate De Ley;Pulpa de tomate;De Ley;Envase 1,020 lt.;Envase;1.02;LT;;Pulpa de tomate ;1;6
Pulpa de tomate Gourmet Envase 1 lt.;Pulpa de tomate Gourmet;Pulpa de tomate;Gourmet;Envase 1 lt.;Envase;1.0;LT;;Pulpa de tomate ;1;6
pulpa de tomate concentrada comun Conaprole (envase 1 lt.);pulpa de tomate concentrada comun Conaprole;Pulpa de tomate;Conaprole;Envase 1 lt.;Envase;1.0;LT;;Pulpa de tomate ;1;6
pulpa de tomate concentrada comun De ley (envase 1,020 lt.);pulpa de tomate concentrada comun De ley;Pulpa de tomate;De Ley;Envase 1,020 lt.;Envase;1.02;LT;;Pulpa de tomate ;1;6
pulpa de tomate concentrada comun Gourmet (envase 1 lt.);pulpa de tomate concentrada comun Gourmet;Pulpa de tomate;Gourmet;Envase 1 lt.;Envase;1.0;LT;;Pulpa de tomate ;1;6
Queso rallado Artesano Paquete 80 grs.;Queso rallado Artesano;Queso rallado;Artesano;Empaque 80 grs.;Empaque;80.0;GR;;Queso rallado ;;
queso rallado Artesano (paquete 80 grs.);queso rallado Artesano;Queso rallado;Artesano;Empaque 80 grs.;Empaque;80.0;GR;;Queso rallado ;;
Queso rallado Conaprole Paquete 80 grs.;Queso rallado Conaprole;Queso rallado;Conaprole;Empaque 80 grs.;Empaque;80.0;GR;;Queso rallado ;;
queso rallado Conaprole (paquete 80 grs.);queso rallado Conaprole;Queso rallado;Conaprole;Empaque 80 grs.;Empaque;80.0;GR;;Queso rallado ;;
Queso rallado Milky Paquete 80 grs.;Queso rallado Milky;Queso rallado;Milky;Empaque 80 grs.;Empaque;80.0;GR;;Queso rallado ;;
queso rallado Milky (paquete 80 grs.);queso rallado Milky;Queso rallado;Milky;Empaque 80 grs.;Empaque;80.0;GR;;Queso rallado ;;
Repelente aerosol Júpiter, 165 cm3;Repelente aerosol Júpiter;Repelente de mosquitos;Júpiter;Envase 165 cm3;Envase;165;CC;aerosol;Repelente de mosquitos aerosol;;
Repelente aerosol Off! Family Aerosol, 170cm3;Repelente aerosol Off! Family Aerosol;Repelente de mosquitos;Off;Envase 170 cm3;Envase;170;CC;aerosol Family;Repelente de mosquitos aerosol Family;;
Repelente aerosol Off! Larga Duración, 170 cm3;Repelente aerosol Off! Larga Duración;Repelente de mosquitos;Off;Envase 170 cm3;Envase;170;CC;aerosol Larga Duracion;Repelente de mosquitos aerosol Larga Duracion;;
Repelente crema Júpiter, 80 grs.;Repelente crema Júpiter;Repelente de mosquitos;Júpiter;Envase 80 grs.;Envase;80.0;CC;crema;Repelente de mosquitos crema;;
Repelente crema Off! Family, 200 grs.;Repelente crema Off! Family;Repelente de mosquitos;Off;Envase 200 grs.;Envase;200.0;CC;crema Family;Repelente de mosquitos crema Family;;
Repelente crema Off! Kids, 90grs.;Repelente crema Off! Kids;Repelente de mosquitos;Off;Envase 90 grs.;Envase;90.0;CC;crema Kids;Repelente de mosquitos crema Kids;;
repelente de mosquitos aerosol Jupiter (165 cm3);repelente de mosquitos aerosol Jupiter;Repelente de mosquitos;Júpiter;Envase 165 cm3;Envase;165;CC;aerosol;Repelente de mosquitos aerosol;;
repelente de mosquitos aerosol Off! (170 cm3);repelente de mosquitos aerosol Off!;Repelente de mosquitos;Off;Envase 170 cm3;Envase;170;CC;aerosol;Repelente de mosquitos aerosol;;
repelente de mosquitos crema Jupiter (80 grs.);repelente de mosquitos crema Jupiter;Repelente de mosquitos;Júpiter;Envase 80 grs.;Envase;80.0;CC;crema;Repelente de mosquitos crema;;
repelente de mosquitos crema Off! (200 grs.);repelente de mosquitos crema Off!;Repelente de mosquitos;Off;Envase 200 grs.;Envase;200.0;CC;crema;Repelente de mosquitos crema;;
repelente de mosquitos crema Off! (90 grs.);repelente de mosquitos crema Off!;Repelente de mosquitos;Off;Envase 90 grs.;Envase;90.0;CC;aerosol;Repelente de mosquitos aerosol;;
repelente de mosquitos spray Off! (177 cm3);repelente de mosquitos spray Off!;Repelente de mosquitos;Off;Envase 177 cm3;Envase;177;CC;aerosol;Repelente de mosquitos aerosol;;
Repelente spray Off! Family, 177 cm3;Repelente spray Off! Family;Repelente de mosquitos;Off;Envase 177 cm3;Envase;177;CC;aerosol Family;Repelente de mosquitos aerosol Family;;
rueda con hueso Sin marca (1 kg);rueda con hueso Sin marca;Rueda vacuna;Genérico;1 kg.;Para Empaquetar;1.0;KG;Con Hueso;Rueda vacuna Con Hueso;;
Rueda Vacuna Con Hueso - Sin Marca 1 kg;Rueda Vacuna Con Hueso - Sin Marca;Rueda vacuna;Genérico;1 kg.;Para Empaquetar;1.0;KG;Con Hueso;Rueda vacuna Con Hueso;;
sal fina Sek (paquete 500 grs.);sal fina Sek;Sal ;Sek;Empaque 500 grs.;Empaque;500.0;GR;fina;Sal  fina;;
sal fina Torrevieja (paquete 500 grs.);sal fina Torrevieja;Sal ;Torrevieja;Empaque 500 grs.;Empaque;500.0;GR;fina;Sal  fina;;
sal fina Urusal (paquete 500 grs.);sal fina Urusal;Sal ;Urusal;Empaque 500 grs.;Empaque;500.0;GR;fina;Sal  fina;;
Sal fina yodada fluorada Sek Paquete 500 grs.;Sal fina yodada fluorada Sek;Sal ;Sek;Empaque 500 grs.;Empaque;500.0;GR;fina yodada fluorada;Sal  fina yodada fluorada;;
Sal fina yodada fluorada Torrevieja Paquete 500 grs.;Sal fina yodada fluorada Torrevieja;Sal ;Torrevieja;Empaque 500 grs.;Empaque;500.0;GR;fina yodada fluorada;Sal  fina yodada fluorada;;
Sal fina yodada fluorada Urusal Paquete 500 grs.;Sal fina yodada fluorada Urusal;Sal ;Urusal;Empaque 500 grs.;Empaque;500.0;GR;fina yodada fluorada;Sal  fina yodada fluorada;;
shampoo comun Dove original (400 ml.);shampoo comun Dove original;Champu;Dove;Envase 400 ml.;Envase;400.0;ML;Común Original;Champu Común Original;;
shampoo comun Fructis (envase 350 ml.);shampoo comun Fructis;Shampoo comun;Fructis;Envase 350 ml.;Envase;350.0;ML;;Shampoo comun ;;
shampoo comun Pantene (400 ml.);shampoo comun Pantene;Champu;Pantene;Envase 400 ml.;Envase;400.0;ML;Común;Champu Común;;
shampoo comun Sedal (envase 350 ml.);shampoo comun Sedal;Shampoo comun;Sedal;Envase 350 ml.;Envase;350.0;ML;;Shampoo comun ;;
shampoo comun Suave (envase 930 ml.);shampoo comun Suave;Shampoo comun;Suave;Envase 930 ml.;Envase;930.0;ML;;Shampoo comun ;;
Talco J&J Regular, 200 grs.;Talco J&J Regular;Talco;Johnson & Johnson;Envase 200 grs.;Envase;200.0;GR;Regular;Talco Regular;;
Talco Xanapie Aerosol, 175 ml.;Talco Xanapie Aerosol;Talco;Xanapie;Envase 175 ml.;Envase;175.0;ML;Aerosol;Talco Aerosol;;
Talco Xanapie Bolsa Repuesto, 180 grs.;Talco Xanapie Bolsa Repuesto;Talco;Xanapie;Envase 180 grs.;Envase;180.0;GR;Bolsa Repuesto;Talco Bolsa Repuesto;;
talco comun Johnson & johnson (200 grs.);talco comun Johnson & johnson;Talco;Johnson & Johnson;Envase 200 grs.;Envase;200.0;GR;Común;Talco Común;;
talco comun Xanapie (175 ml.);talco comun Xanapie;Talco comun;Xanapie;Envase 175 ml.;Envase;175.0;ML;;Talco comun ;;
talco comun Xanapie (180 grs.);talco comun Xanapie;Talco ;Xanapie;Envase 180 grs.;Envase;180.0;GR;Común;Talco  Común;;
Té negro en saquitos Hornimans Caja 10 us.;Té negro en saquitos Hornimans;Te saquitos;Hornimans;Empaque 10 Unidades;Empaque;10.0;UNIDADES;negro;Te saquitos negro;;
Té negro en saquitos La Virginia Caja 10 us.;Té negro en saquitos La Virginia;Te saquitos;La Virginia;Empaque 10 Unidades;Empaque;10.0;UNIDADES;negro;Te saquitos negro;;
Té negro en saquitos President Caja 10 us.;Té negro en saquitos President;Te saquitos;President;Empaque 10 Unidades;Empaque;10.0;UNIDADES;negro;Te saquitos negro;;
te saquitos Hornimans (caja 10 us.);te saquitos Hornimans;Te saquitos;Hornimans;Empaque 10 Unidades;Empaque;10.0;UNIDADES;;Te saquitos ;;
te saquitos La virginia (caja 10 us.);te saquitos La virginia;Te saquitos;La Virginia;Empaque 10 Unidades;Empaque;10.0;UNIDADES;;Te saquitos ;;
te saquitos President (caja 10 us.);te saquitos President;Te saquitos;President;Empaque 10 Unidades;Empaque;10.0;UNIDADES;;Te saquitos ;;
Tinta Excellence Tinta N.9, 1 unidad;Tinta Excellence Tinta N.9;Tinta;Excellence;Empaque 1 Unidad;Empaque;1.0;UNIDADES;N 9;Tinta N 9;;
Tinta Garnier Nutrisse Intense N.8.0, 1 unidad;Tinta Garnier Nutrisse Intense N.8.0;Tinta;Garnier;Empaque 1 Unidad;Empaque;1.0;UNIDADES;Nutrisse Intense N 8 0;Tinta Nutrisse Intense N 8 0;;
Tinta Issue Decolorante Semilla Lino 30 Grs., 1 unidad;Tinta Issue Decolorante Semilla Lino 30 Grs.;Tinta;Issue;Empaque 1 Unidad;Empaque;1.0;UNIDADES;Decolorante Semilla Lino 30 Grs;Tinta Decolorante Semilla Lino 30 Grs;;
tinta comun Excellence (1 unidad);tinta comun Excellence;Tinta comun;Excellence;Empaque 1 Unidad;Empaque;1.0;UNIDADES;;Tinta comun ;;
tinta comun Garnier (1 unidad);tinta comun Garnier;Tinta comun;Garnier;Empaque 1 Unidad;Empaque;1.0;UNIDADES;;Tinta comun ;;
tinta comun Issue (1 unidad);tinta comun Issue;Tinta comun;Issue;Empaque 1 Unidad;Empaque;1.0;UNIDADES;;Tinta comun ;;
Toallitas Femenias Siempre Libre Nocturna Max Con Alas, 8 us.;Toallitas Femenias Siempre Libre Nocturna Max Con Alas;Toallitas femeninas;Siempre Libre;Empaque 8 Unidades;Empaque;8.0;UNIDADES;Femeninas Nocturna Max Con Alas;Toallitas femeninas Femeninas Nocturna Max Con Alas;;
Toallitas Femeninas Ladysoft Basica, 16 us.;Toallitas Femeninas Ladysoft Basica;Toallitas femeninas;Ladysoft;Empaque 16 Unidades;Empaque;16.0;UNIDADES;Basica;Toallitas femeninas Basica;;
toallitas y tampones comun Ladysoft (16 unidades);toallitas y tampones comun Ladysoft;Toallitas y tampones;Ladysoft;Empaque 16 Unidades;Empaque;16.0;UNIDADES;Común;Toallitas y tampones Común;;
toallitas y tampones comun Siempre libre (8 unidades);toallitas y tampones comun Siempre libre;Toallitas y tampones;Siempre Libre;Empaque 8 Unidades;Empaque;8.0;UNIDADES;Común;Toallitas y tampones Común;;
Tomate Americano, 1 kg.;Tomate Americano;Tomate;Genérico;1 kg.;Para Empaquetar;1.0;KG;Americano;Tomate Americano;;
Tomate Perita, 1 kg.;Tomate Perita;Tomate;Genérico;1 kg.;Para Empaquetar;1.0;KG;Perita;Tomate Perita;;
tomate americano Sin marca (1 kg.);tomate americano Sin marca;Tomate;Genérico;1 kg.;Para Empaquetar;1.0;KG;Americano;Tomate Americano;;
tomate perita Sin marca (1 kg.);tomate perita Sin marca;Tomate;Genérico;1 kg.;Para Empaquetar;1.0;KG;Perita;Tomate Perita;;
vino tinto Faisan (envase 1 lt.);vino tinto Faisan;Vino tinto;Faisán;Envase 1 lt.;Envase;1.0;LT;Común tetrabrick;Vino tinto Común tetrabrick;;
vino tinto Santa teresa clasico (envase 1 lt.);vino tinto Santa teresa clasico;Vino tinto;Santa Teresa;Envase 1 lt.;Envase;1.0;LT;Común tetrabrick Clasico;Vino tinto Común tetrabrick Clasico;;
vino tinto Tango (envase 1 lt.);vino tinto Tango;Vino tinto;Tango;Envase 1 lt.;Envase;1.0;LT;Común tetrabrick;Vino tinto Común tetrabrick;;
Vino tinto común tetrabrick Faisán Envase 1 lt.;Vino tinto común tetrabrick Faisán;Vino tinto;Faisán;Envase 1 lt.;Envase;1.0;LT;Común tetrabrick;Vino tinto Común tetrabrick;;
Vino tinto común tetrabrick Santa Teresa Clásico Envase 1 lt.;Vino tinto común tetrabrick Santa Teresa Clásico;Vino tinto;Santa Teresa;Envase 1 lt.;Envase;1.0;LT;Común tetrabrick Clasico;Vino tinto Común tetrabrick Clasico;;
Vino tinto común tetrabrick Tango Envase 1 lt.;Vino tinto común tetrabrick Tango;Vino tinto;Tango;Envase 1 lt.;Envase;1.0;LT;Común tetrabrick;Vino tinto Común tetrabrick;;
Yerba mate común Baldo Paquete1 kg.;Yerba mate común Baldo;Yerba mate;Baldo;Empaque 1 kg.;Empaque;1.0;KG;Común;Yerba mate Común;1;2
Yerba mate común Canarias Paquete1 kg.;Yerba mate común Canarias;Yerba mate;Canarias;Empaque 1 kg.;Empaque;1.0;KG;Común;Yerba mate Común;1;2
Yerba mate común Del Cebador Paquete1 kg.;Yerba mate común Del Cebador;Yerba mate;Del Cebador;Empaque 1 kg.;Empaque;1.0;KG;Común;Yerba mate Común;1;2
yerba mate sin tipo Baldo (paquete1 kg.);yerba mate sin tipo Baldo;Yerba mate;Baldo;Empaque 1 kg.;Empaque;1.0;KG;sin tipo;Yerba mate sin tipo;1;2
yerba mate sin tipo Canarias (paquete1 kg.);yerba mate sin tipo Canarias;Yerba mate;Canarias;Empaque 1 kg.;Empaque;1.0;KG;sin tipo;Yerba mate sin tipo;1;2
yerba mate sin tipo Del cebador (paquete1 kg.);yerba mate sin tipo Del cebador;Yerba mate;Del Cebador;Empaque 1 kg.;Empaque;1.0;KG;sin tipo;Yerba mate sin tipo;1;2
Yogur Calcar Sachet 1 lt.;Yogur Calcar;Yogur;Calcar;Sachet 1 lt.;Sachet;1.0;LT;;Yogur ;;
Yogur Conaprole BIO TOP Sachet1,200 lt.;Yogur Conaprole BIO TOP;Yogur;Conaprole;Sachet 1,200 lt.;Sachet;1.2;LT;Bio Top;Yogur Bio Top;;
Yogur Parmalat Bio Yogur Sachet 1 lt.;Yogur Parmalat Bio Yogur;Yogur;Parmalat;Sachet 1 lt.;Sachet;1.0;LT;Bio Yogur;Yogur Bio Yogur;;
yogur semi-descremado Calcar (sachet 1 lt.);yogur semi-descremado Calcar;Yogur;Calcar;Sachet 1 lt.;Sachet;1.0;LT;semi descremado;Yogur semi descremado;;
yogur semi-descremado Conaprole (sachet1,200 lt.);yogur semi-descremado Conaprole;Yogur;Conaprole;Sachet 1,200 lt.;Sachet;1.2;LT;semi descremado;Yogur semi descremado;;
yogur semi-descremado Parmalat (sachet 1 lt.);yogur semi-descremado Parmalat;Yogur;Parmalat;Sachet 1 lt.;Sachet;1.0;LT;semi descremado;Yogur semi descremado;;
Zapallo Calabacín, 1 kg.;Zapallo Calabacín;Zapallo;Genérico;1 kg.;Para Empaquetar;1.0;KG;Calabacin;Zapallo Calabacin;;
Zapallo Criollo, 1 kg.;Zapallo Criollo;Zapallo;Genérico;1 kg.;Para Empaquetar;1.0;KG;Criollo;Zapallo Criollo;;
zapallo calabacin Sin marca (1 kg.);zapallo calabacin Sin marca;Zapallo;Genérico;1 kg.;Para Empaquetar;1.0;KG;Calabacin;Zapallo Calabacin;;
zapallo criollo Sin marca (1 kg.);zapallo criollo Sin marca;Zapallo;Genérico;1 kg.;Para Empaquetar;1.0;KG;Criollo;Zapallo Criollo;;
